"FilePath","Line","Code","Cat","Confirmed"
"lib\utils\asset_picker_util.dart","30","primaryColor: const Color(0xFFFF5A7E),","C1","False"
"lib\utils\asset_picker_util.dart","31","colorScheme: const ColorScheme.light(primary: Color(0xFFFF5A7E)),","C1","False"
"lib\utils\asset_picker_util.dart","33","backgroundColor: Color(0xFFFF5A7E),","C1","False"
"lib\utils\asset_picker_util.dart","34","foregroundColor: Colors.white),","C2","False"
"lib\utils\asset_picker_util.dart","35","scaffoldBackgroundColor: Colors.white,","C2","False"
"lib\utils\asset_picker_util.dart","37","const BottomSheetThemeData(backgroundColor: Colors.white),","C2","False"
"lib\utils\asset_picker_util.dart","68","primaryColor: const Color(0xFFFF5A7E),","C1","False"
"lib\utils\asset_picker_util.dart","69","colorScheme: const ColorScheme.light(primary: Color(0xFFFF5A7E)),","C1","False"
"lib\utils\asset_picker_util.dart","71","backgroundColor: Color(0xFFFF5A7E),","C1","False"
"lib\utils\asset_picker_util.dart","72","foregroundColor: Colors.white),","C2","False"
"lib\utils\asset_picker_util.dart","133","'primary': palette.dominantColor?.color ?? const Color(0xFFFF5A7E),","C1","False"
